,Sali de clasa,Ateliere,Laboratoare,PC-uri,Sali de gimnastica,Terenuri de sport,Personal didactic,Populatia scolara,Unitati de invatamant
Harghita,-0.22381299181522396,0.15738199728334676,-0.5488713490923854,-0.4470984808006161,0.24840743929307627,-0.6342638710716724,-0.3106653805648496,-0.44770501127716633,-0.4240636489828458
Hunedoara,-0.3070092674820122,0.15738199728334676,-0.2673085744916651,-0.31657053286696213,-0.08255232121522178,-0.07293461732371412,-0.43057896106042787,-0.36764415895036534,-0.6416860231875474
Ialomita,-0.9477756142324306,-0.7229950268213141,-0.6085967861289019,-0.5502526766202217,-1.1857515229095485,-0.9550234446419342,-0.8160842670311523,-0.6728400203567949,-0.8593083973922491
Iasi,1.5496628969327084,2.1923518398859234,2.14872755705694,0.39813699878871645,1.3200866637961366,0.8412301673515321,1.4627553430293951,1.44244751922424,1.087839161281397
Ilfov,-0.7483112514536713,-1.285859025839048,-0.6157069572046776,0.20920140274730978,-0.6971918764449182,-0.40973216957248904,-0.5485662189777639,-0.3685185244328846,-0.3553407939708348
Maramures,0.12240753425153439,0.013057894971107284,-0.3398323194645779,-0.0916521138959779,-0.2401522071715542,-0.15312451071627958,-0.0944356711571603,-0.11613715870443106,0.182988236956585
Mehedinti,-0.8490769269507129,-0.8240218984398817,-0.5858442386864194,-0.3763700666754292,-0.8232717852099841,-1.115403231427065,-0.7127852187729132,-0.6499795937896389,-0.7104088781995584
Mures,0.6422550704055029,-0.044671745953788505,-0.07960005809118488,0.46262770292181327,1.225526732222337,-0.24935238278735813,0.4516767797745094,0.18550483009562999,0.25171109196859603
Neamt,0.0045892059780703485,-0.08796897664746035,-0.2801068824280615,-0.3294068121068831,0.1853674849105433,0.32801484963911315,-0.24902305806109853,-0.19618390836215915,-0.27516412979015525
Olt,-0.4460142249625465,-0.5209412835841788,-0.5104764252831963,-0.5139605457571521,-0.6814318878492849,-0.21727642543033196,-0.3942196223961059,-0.36475311179042275,-0.05754175558545362
Prahova,0.3942164845666312,0.7202459963010808,0.14934745054879475,-0.137171931441561,0.9260869489053056,1.2101036769573332,0.3346526831462944,0.35421506021462246,0.7785863137273473
Satu Mare,-0.3504160200038147,-0.4343468221968351,-0.5118984594983514,-0.47715290167159563,-0.3662321159366201,-0.5219980203220806,-0.4394882029847981,-0.4320228432681118,-0.4240636489828458
Salaj,-0.7090384753625166,-0.5353736938154028,-0.47492556990431745,-0.33451039300950225,-0.6026319448711187,-0.8908715299278818,-0.7272326381097299,-0.6682566529081054,-0.653139832356216
Sibiu,0.0417949938539011,0.6047867144512892,0.035584713336382516,-0.14804926043603217,0.1853674849105433,-0.48992206296505453,-0.03062623575288673,-0.03748657328491913,0.06845014526989994
Suceava,1.0024277669256978,0.17181440751457072,0.07966777400619227,0.8400864844266371,0.295687405079976,0.8893441033870714,0.5990404570100393,0.5789975025674288,0.6411406037033253
Teleorman,-0.7694978806607417,-0.8817515393647775,-0.5886883071167297,-0.25713185831423585,-0.5868719562754855,-0.6342638710716724,-0.5810729124856013,-0.5891265767401151,-0.3209793664648293
Timis,1.1967246591661473,1.2542451748563668,1.3651867045064507,0.365814319738795,1.146726789244171,0.7931162313159928,1.0327038274368192,0.8508828596236903,0.8358553595706898
Tulcea,-1.1312208183424295,-0.997210821214569,-0.5502933833075405,-0.5591710553692432,-1.1857515229095485,-1.115403231427065,-0.8815792346913879,-0.774844625761014,-0.9967541074162711
Vaslui,-0.25946853852956175,-0.41991441196561113,-0.49625608313164477,-0.14258482027767225,-1.1542315457182821,-0.9710614233204473,-0.29718112251715406,-0.33869137934372057,-0.2064412747781442
Valcea,-0.4635836247927999,-0.6508329756651944,-0.43937471452543864,-0.45477962781566916,-0.6183919334667519,-0.39369419089397595,-0.3771235095142062,-0.47409110511254504,-0.4240636489828458
Vrancea,-0.6857848579401224,-0.7807246677462099,-0.4621272619679211,-0.5318488545774436,-1.0911915913357493,-0.8267196152138294,-0.5158187351476461,-0.47506418927857447,-0.5271479315008624
Municipiul Bucuresti,4.767963548192069,4.472672656419308,4.709811178551371,5.6973551693416224,4.125364633818854,4.064863881732664,5.1962092899851,5.413970670186379,5.222664271170728
